beta0,p,delta_s8,delta_xi_plus,cancel_residual
0.0,-2.0,0.0,0.0,0.0114
0.0,-1.5,0.0,0.0,0.0114
0.0,-1.0,0.0,0.0,0.0114
0.0,-0.5,0.0,0.0,0.0114
0.0,0.0,0.0,0.0,0.0114
0.0,0.5,0.0,0.0,0.0114
0.0,1.0,0.0,0.0,0.0114
0.0,1.5,0.0,0.0,0.0114
0.0,2.0,0.0,0.0,0.0114
0.024999999999999998,-2.0,0.000432738030534896,0.000865476061069792,0.011832738030534896
0.024999999999999998,-1.5,0.00017173671073145158,0.00034347342146290316,0.011571736710731452
0.024999999999999998,-1.0,8.344409089766636e-05,0.0001668881817953327,0.011483444090897667
0.024999999999999998,-0.5,4.622666249365359e-05,9.245332498730718e-05,0.011446226662493654
0.024999999999999998,0.0,2.813672356771768e-05,5.627344713543536e-05,0.011428136723567718
0.024999999999999998,0.5,1.8391139155360392e-05,3.6782278310720784e-05,0.01141839113915536
0.024999999999999998,1.0,1.2710205317123524e-05,2.5420410634247048e-05,0.011412710205317124
0.024999999999999998,1.5,9.184503616754824e-06,1.836900723350965e-05,0.011409184503616755
0.024999999999999998,2.0,6.881819967663461e-06,1.3763639935326921e-05,0.011406881819967664
0.049999999999999996,-2.0,0.0017317306809536692,0.0034634613619073384,0.01313173068095367
0.049999999999999996,-1.5,0.0006870605570254984,0.0013741211140509968,0.012087060557025499
0.049999999999999996,-1.0,0.00033380212932465625,0.0006676042586493125,0.011733802129324657
0.049999999999999996,-0.5,0.0001849143420733501,0.0003698286841467002,0.01158491434207335
0.049999999999999996,0.0,0.0001125496887475208,0.0002250993774950416,0.011512549688747521
0.049999999999999996,0.5,7.356573307704117e-05,0.00014713146615408235,0.011473565733077042
0.049999999999999996,1.0,5.0841376245225334e-05,0.00010168275249045067,0.011450841376245226
0.049999999999999996,1.5,3.6738301084193736e-05,7.347660216838747e-05,0.011436738301084194
0.049999999999999996,2.0,2.752743935707791e-05,5.505487871415582e-05,0.011427527439357078
0.075,-2.0,0.003899282696167017,0.007798565392334034,0.015299282696167017
0.075,-1.5,0.0015463127744170801,0.0030926255488341603,0.01294631277441708
0.075,-1.0,0.0007511514230837957,0.0015023028461675914,0.012151151423083796
0.075,-0.5,0.00041608611682808494,0.0008321722336561699,0.011816086116828085
0.075,0.0,0.0002532472793526086,0.0005064945587052172,0.011653247279352609
0.075,0.5,0.00016552731121999287,0.00033105462243998574,0.011565527311219993
0.075,1.0,0.00011439517772804386,0.00022879035545608772,0.011514395177728044
0.075,1.5,8.266225226671864e-05,0.00016532450453343728,0.011482662252266719
0.075,2.0,6.193733663106826e-05,0.00012387467326213653,0.011461937336631069
0.09999999999999999,-2.0,0.006939324669606783,0.013878649339213567,0.018339324669606784
0.09999999999999999,-1.5,0.002750066773461457,0.005500133546922914,0.014150066773461457
0.09999999999999999,-1.0,0.0013356208531909441,0.0026712417063818883,0.012735620853190945
0.09999999999999999,-0.5,0.0007397804561359855,0.001479560912271971,0.012139780456135986
0.09999999999999999,0.0,0.00045024346954436467,0.0009004869390887293,0.011850243469544365
0.09999999999999999,0.5,0.00029428175629164777,0.0005885635125832955,0.011694281756291648
0.09999999999999999,1.0,0.00020337438474493652,0.00040674876948987304,0.011603374384744937
0.09999999999999999,1.5,0.00014695779026485667,0.00029391558052971334,0.011546957790264857
0.09999999999999999,2.0,0.00011011230923929638,0.00022022461847859276,0.011510112309239297
0.12499999999999999,-2.0,0.010857426555975325,0.02171485311195065,0.022257426555975325
0.12499999999999999,-1.5,0.004299110334490264,0.008598220668980527,0.015699110334490264
0.12499999999999999,-1.0,0.002087390925806565,0.00417478185161313,0.013487390925806565
0.12499999999999999,-0.5,0.0011560512294714886,0.0023121024589429773,0.012556051229471489
0.12499999999999999,0.0,0.0007035578256138209,0.0014071156512276417,0.012103557825613821
0.12499999999999999,0.5,0.000459837304685351,0.000919674609370702,0.011859837304685351
0.12499999999999999,1.0,0.0003177828823901496,0.0006355657647802992,0.01171778288239015
0.12499999999999999,1.5,0.00022962692142658447,0.00045925384285316895,0.011629626921426585
0.12499999999999999,2.0,0.00017205347361537449,0.00034410694723074897,0.011572053473615375
0.15,-2.0,0.01566001970544284,0.03132003941088568,0.02706001970544284
0.15,-1.5,0.00619447458163469,0.01238894916326938,0.01759447458163469
0.15,-1.0,0.0030066938443766844,0.006013387688753369,0.014406693844376685
0.15,-0.5,0.0016648866538058193,0.0033297733076116387,0.01306488665380582
0.15,0.0,0.0010132155084079386,0.0020264310168158772,0.012413215508407939
0.15,0.5,0.0006622045470625615,0.001324409094125123,0.012062204547062562
0.15,1.0,0.0004576256660038247,0.0009152513320076494,0.011857625666003825
0.15,1.5,0.00033067222534000074,0.0006613444506800015,0.011730672225340001
0.15,2.0,0.00024776226519906963,0.0004955245303981393,0.01164776226519907
0.175,-2.0,0.021355770420384612,0.042711540840769224,0.03275577042038461
0.175,-1.5,0.008437414397199694,0.016874828794399388,0.019837414397199694
0.175,-1.0,0.004093813601998564,0.008187627203997128,0.015493813601998564
0.175,-0.5,0.00226653424063894,0.00453306848127788,0.01366653424063894
0.175,0.0,0.0013791668406955004,0.002758333681391001,0.0127791668406955
0.175,0.5,0.0009013964291404442,0.0018027928582808883,0.012301396429140445
0.175,1.0,0.0006229088413398642,0.0012458176826797285,0.012022908841339865
0.175,1.5,0.00045009685483377027,0.0009001937096675405,0.01185009685483377
0.175,2.0,0.0003372404384334171,0.0006744808768668342,0.011737240438433418
0.19999999999999998,-2.0,0.02795573595649281,0.05591147191298562,0.03935573595649281
0.19999999999999998,-1.5,0.011029418433849969,0.022058836867699938,0.02242941843384997
0.19999999999999998,-1.0,0.005349086093847211,0.010698172187694421,0.01674908609384721
0.19999999999999998,-0.5,0.002961012526640827,0.005922025053281654,0.014361012526640828
