# log10_L[m]	log10_tau_q[s]
-1.200000000000000000e+01	-4.214814594048395691e+01
-1.192988313856427318e+01	-4.214814594015054183e+01
-1.185976627712854814e+01	-4.214814593976694113e+01
-1.178964941569282132e+01	-4.214814593932558751e+01
-1.171953255425709450e+01	-4.214814593881779103e+01
-1.164941569282136946e+01	-4.214814593823355438e+01
-1.157929883138564264e+01	-4.214814593756135963e+01
-1.150918196994991582e+01	-4.214814593678796939e+01
-1.143906510851419078e+01	-4.214814593589815672e+01
-1.136894824707846396e+01	-4.214814593487438543e+01
-1.129883138564273715e+01	-4.214814593369649742e+01
-1.122871452420701210e+01	-4.214814593234127926e+01
-1.115859766277128529e+01	-4.214814593078205007e+01
-1.108848080133556024e+01	-4.214814592898808598e+01
-1.101836393989983343e+01	-4.214814592692405171e+01
-1.094824707846410661e+01	-4.214814592454929709e+01
-1.087813021702838157e+01	-4.214814592181704000e+01
-1.080801335559265475e+01	-4.214814591867346394e+01
-1.073789649415692793e+01	-4.214814591505663799e+01
-1.066777963272120289e+01	-4.214814591089533025e+01
-1.059766277128547607e+01	-4.214814590610757250e+01
-1.052754590984974925e+01	-4.214814590059904731e+01
-1.045742904841402421e+01	-4.214814589426125480e+01
-1.038731218697829739e+01	-4.214814588696935260e+01
-1.031719532554257057e+01	-4.214814587857971162e+01
-1.024707846410684553e+01	-4.214814586892706672e+01
-1.017696160267111871e+01	-4.214814585782129086e+01
-1.010684474123539189e+01	-4.214814584504361505e+01
-1.003672787979966685e+01	-4.214814583034236506e+01
-9.966611018363940033e+00	-4.214814581342793787e+01
-9.896494156928213215e+00	-4.214814579396718131e+01
-9.826377295492488173e+00	-4.214814577157674336e+01
-9.756260434056761355e+00	-4.214814574581558304e+01
-9.686143572621034536e+00	-4.214814571617627337e+01
-9.616026711185309495e+00	-4.214814568207498269e+01
-9.545909849749582676e+00	-4.214814564283999232e+01
-9.475792988313855858e+00	-4.214814559769845914e+01
-9.405676126878130816e+00	-4.214814554576120997e+01
-9.335559265442403998e+00	-4.214814548600517696e+01
-9.265442404006677179e+00	-4.214814541725331054e+01
-9.195325542570952138e+00	-4.214814533815135889e+01
-9.125208681135225319e+00	-4.214814524714119415e+01
-9.055091819699498501e+00	-4.214814514243010279e+01
-8.984974958263773459e+00	-4.214814502195553558e+01
-8.914858096828046641e+00	-4.214814488334440057e+01
-8.844741235392319822e+00	-4.214814472386636623e+01
-8.774624373956594781e+00	-4.214814454038009472e+01
-8.704507512520867962e+00	-4.214814432927130383e+01
-8.634390651085141144e+00	-4.214814408638163457e+01
-8.564273789649416102e+00	-4.214814380692671136e+01
-8.494156928213689284e+00	-4.214814348540189570e+01
-8.424040066777962465e+00	-4.214814311547387859e+01
-8.353923205342237424e+00	-4.214814268985590928e+01
-8.283806343906510605e+00	-4.214814220016427981e+01
-8.213689482470783787e+00	-4.214814163675317360e+01
-8.143572621035058745e+00	-4.214814098852466628e+01
-8.073455759599331927e+00	-4.214814024271012727e+01
-8.003338898163605108e+00	-4.214813938461868759e+01
-7.933222036727880067e+00	-4.214813839734789980e+01
-7.863105175292154136e+00	-4.214813726145076345e+01
-7.792988313856427318e+00	-4.214813595455269279e+01
-7.722871452420701388e+00	-4.214813445091075295e+01
-7.652754590984975458e+00	-4.214813272090663077e+01
-7.582637729549248640e+00	-4.214813073046317982e+01
-7.512520868113522710e+00	-4.214812844037321327e+01
-7.442404006677796779e+00	-4.214812580552720078e+01
-7.372287145242069961e+00	-4.214812277402469931e+01
-7.302170283806344031e+00	-4.214811928615209524e+01
-7.232053422370618101e+00	-4.214811527320632223e+01
-7.161936560934891283e+00	-4.214811065614163255e+01
-7.091819699499165353e+00	-4.214810534401256348e+01
-7.021702838063439422e+00	-4.214809923218255960e+01
-6.951585976627713492e+00	-4.214809220026288017e+01
-6.881469115191986674e+00	-4.214808410974128350e+01
-6.811352253756260744e+00	-4.214807480125367078e+01
-6.741235392320534814e+00	-4.214806409144507171e+01
-6.671118530884807996e+00	-4.214805176935805520e+01
-6.601001669449082065e+00	-4.214803759227748259e+01
-6.530884808013356135e+00	-4.214802128094974165e+01
-6.460767946577629317e+00	-4.214800251408227894e+01
-6.390651085141903387e+00	-4.214798092201521484e+01
-6.320534223706177457e+00	-4.214795607944024880e+01
-6.250417362270450639e+00	-4.214792749702358066e+01
