L,C_L_LCDM_arb,ratio_SQT_central,N_L_S4
30,1.7164266839458374e-07,1.0229299600000001,4.000004938271606e-09
31,1.6626552448717146e-07,1.0229299600000001,4.000005630367322e-09
32,1.6122440209703746e-07,1.0229299600000001,4.000006392781589e-09
33,1.5648875381498593e-07,1.0229299600000001,4.000007230123456e-09
34,1.5203162604471269e-07,1.0229299600000001,4.000008147148301e-09
35,1.478291456009636e-07,1.0229299600000001,4.000009148757811e-09
36,1.438600918746665e-07,1.0229299600000001,4.00001024e-09
37,1.4010553837669044e-07,1.0229299600000001,4.0000114260691965e-09
38,1.3654855087995862e-07,1.0229299600000001,4.0000127123060505e-09
39,1.3317393200123623e-07,1.0229299600000001,4.000014104197531e-09
40,1.2996800409565048e-07,1.0229299600000001,4.000015607376924e-09
41,1.269184239227437e-07,1.0229299600000001,4.000017227623838e-09
42,1.2401402378880498e-07,1.0229299600000001,4.000018970864198e-09
43,1.2124467485538811e-07,1.0229299600000001,4.000020843170249e-09
44,1.1860116908757677e-07,1.0229299600000001,4.0000228507605554e-09
45,1.160751169424813e-07,1.0229299600000001,4.000025e-09
46,1.1365885840271407e-07,1.0229299600000001,4.000027297399787e-09
47,1.1134538536729349e-07,1.0229299600000001,4.000029749617436e-09
48,1.0912827374368502e-07,1.0229299600000001,4.00003236345679e-09
49,1.0700162385510251e-07,1.0229299600000001,4.0000351458680085e-09
50,1.0496000799893344e-07,1.0229299600000001,4.000038103947569e-09
51,1.0299842417476095e-07,1.0229299600000001,4.000041244938272e-09
52,1.0111225515146053e-07,1.0229299600000001,4.000044576229233e-09
53,9.929723216821014e-08,1.0229299600000001,4.000048105355891e-09
54,9.754940266872149e-08,1.0229299600000001,4.00005184e-09
55,9.586510155537323e-08,1.0229299600000001,4.000055787989636e-09
56,9.424092552325869e-08,1.0229299600000001,4.000059957299193e-09
57,9.267371009591253e-08,1.0229299600000001,4.000064356049383e-09
58,9.116050903665208e-08,1.0229299600000001,4.00006899250724e-09
59,8.969857585368048e-08,1.0229299600000001,4.0000738750861155e-09
60,8.828534715467952e-08,1.0229299600000001,4.000079012345679e-09
61,8.691842763865564e-08,1.0229299600000001,4.000084412991922e-09
62,8.5595576540188e-08,1.0229299600000001,4.0000900858771525e-09
63,8.431469536470037e-08,1.0229299600000001,4.0000960400000004e-09
64,8.307381677355156e-08,1.0229299600000001,4.0001022845054105e-09
65,8.187109449511712e-08,1.0229299600000001,4.000108828684652e-09
66,8.070479415304587e-08,1.0229299600000001,4.000115681975308e-09
67,7.957328491586618e-08,1.0229299600000001,4.000122853961287e-09
68,7.847503188339203e-08,1.0229299600000001,4.000130354372809e-09
69,7.74085891351805e-08,1.0229299600000001,4.00013819308642e-09
70,7.637259337483577e-08,1.0229299600000001,4.000146380124981e-09
71,7.536575811141442e-08,1.0229299600000001,4.000154925657674e-09
72,7.43868683257133e-08,1.0229299600000001,4.0001638400000005e-09
73,7.343477557494493e-08,1.0229299600000001,4.000173133613778e-09
74,7.250839349433102e-08,1.0229299600000001,4.000182817107149e-09
75,7.160669365856849e-08,1.0229299600000001,4.0001929012345684e-09
76,7.072870177002194e-08,1.0229299600000001,4.000203396896815e-09
77,6.987349414393997e-08,1.0229299600000001,4.000214315140985e-09
78,6.90401944640396e-08,1.0229299600000001,4.000225667160494e-09
79,6.822797078450192e-08,1.0229299600000001,4.000237464295078e-09
80,6.743603275681805e-08,1.0229299600000001,4.000249718030788e-09
81,6.666362906205395e-08,1.0229299600000001,4.0002624400000005e-09
82,6.591004503099838e-08,1.0229299600000001,4.000275641981405e-09
83,6.517460043634814e-08,1.0229299600000001,4.000289335900015e-09
84,6.445664744259458e-08,1.0229299600000001,4.000303533827161e-09
85,6.375556870062394e-08,1.0229299600000001,4.000318247980491e-09
86,6.307077557525243e-08,1.0229299600000001,4.000333490723975e-09
87,6.240170649500047e-08,1.0229299600000001,4.000349274567901e-09
88,6.174782541438215e-08,1.0229299600000001,4.0003656121688775e-09
89,6.110862037986065e-08,1.0229299600000001,4.000382516329828e-09
90,6.04836021914067e-08,1.0229299600000001,4.0004e-09
91,5.98723031523057e-08,1.0229299600000001,4.000418076274958e-09
92,5.9274275900499484e-08,1.0229299600000001,4.000436758396586e-09
93,5.86890923153251e-08,1.0229299600000001,4.000456059753087e-09
94,5.8116342494036386e-08,1.0229299600000001,4.0004759938789815e-09
95,5.755563379296623e-08,1.0229299600000001,4.000496574455114e-09
96,5.70065899286162e-08,1.0229299600000001,4.000517815308642e-09
97,5.6468850134348894e-08,1.0229299600000001,4.0005397304130474e-09
98,5.5942068368711325e-08,1.0229299600000001,4.000562333888126e-09
99,5.542591257173877e-08,1.0229299600000001,4.00058564e-09
100,5.4920063965880314e-08,1.0229299600000001,4.000609663161104e-09
101,5.4424216398453656e-08,1.0229299600000001,4.0006344179301934e-09
102,5.3938075722778975e-08,1.0229299600000001,4.0006599190123465e-09
103,5.3461359215363245e-08,1.0229299600000001,4.000686181258955e-09
104,5.299379502670861e-08,1.0229299600000001,4.0007132196677346e-09
105,5.253512166350307e-08,1.0229299600000001,4.000741049382716e-09
106,5.208508750012113e-08,1.0229299600000001,4.0007696856942545e-09
107,5.164345031751697e-08,1.0229299600000001,4.000799144039019e-09
108,5.120997686773462e-08,1.0229299600000001,4.000829440000001e-09
109,5.07844424623901e-08,1.0229299600000001,4.0008605893065084e-09
110,5.036663058359997e-08,1.0229299600000001,4.000892607834172e-09
111,4.995633251594072e-08,1.0229299600000001,4.000925511604939e-09
112,4.955334699812471e-08,1.0229299600000001,4.000959316787075e-09
113,4.915747989317112e-08,1.0229299600000001,4.000994039695169e-09
114,4.8768543875936347e-08,1.0229299600000001,4.001029696790123e-09
115,4.83863581369472e-08,1.0229299600000001,4.001066304679165e-09
116,4.8010748101552975e-08,1.0229299600000001,4.001103880115836e-09
117,4.764154516348013e-08,1.0229299600000001,4.00114244e-09
118,4.727858643193488e-08,1.0229299600000001,4.001182001377839e-09
119,4.692171449145699e-08,1.0229299600000001,4.0012225814418534e-09
120,4.657077717378091e-08,1.0229299600000001,4.001264197530865e-09
121,4.6225627341009525e-08,1.0229299600000001,4.001306867130011e-09
122,4.58861226794515e-08,1.0229299600000001,4.0013506078707516e-09
123,4.5552125503515394e-08,1.0229299600000001,4.0013954375308644e-09
124,4.522350256909267e-08,1.0229299600000001,4.001441374034446e-09
125,4.49001248958984e-08,1.0229299600000001,4.001488435451913e-09
126,4.4581867598271946e-08,1.0229299600000001,4.0015366400000006e-09
127,4.4268609723971225e-08,1.0229299600000001,4.001586006041762e-09
128,4.3960234100523574e-08,1.0229299600000001,4.001636552086573e-09
129,4.365662718872305e-08,1.0229299600000001,4.001688296790124e-09
130,4.33576789428894e-08,1.0229299600000001,4.001741258954428e-09
131,4.306328267752739e-08,1.0229299600000001,4.001795457527816e-09
132,4.277333494004704e-08,1.0229299600000001,4.001850911604938e-09
133,4.2487735389225875e-08,1.0229299600000001,4.0019076404267645e-09
134,4.220638667911308e-08,1.0229299600000001,4.001965663380582e-09
135,4.192919434809354e-08,1.0229299600000001,4.002025e-09
136,4.165606671284604e-08,1.0229299600000001,4.002085669964945e-09
137,4.1386914766945755e-08,1.0229299600000001,4.002147693101662e-09
138,4.1121652083875145e-08,1.0229299600000001,4.002211089382717e-09
139,4.086019472422161e-08,1.0229299600000001,4.002275878926993e-09
140,4.0602461146852286e-08,1.0229299600000001,4.002342081999696e-09
141,4.0348372123868673e-08,1.0229299600000001,4.002409719012346e-09
142,4.009785065915469e-08,1.0229299600000001,4.002478810522786e-09
143,3.9850821910342344e-08,1.0229299600000001,4.002549377235178e-09
144,3.9607213114028797e-08,1.0229299600000001,4.002621440000001e-09
145,3.936695351408794e-08,1.0229299600000001,4.002695019814053e-09
146,3.9129974292927987e-08,1.0229299600000001,4.002770137820454e-09
147,3.889620850555497e-08,1.0229299600000001,4.002846815308642e-09
148,3.866559101630929e-08,1.0229299600000001,4.002925073714373e-09
149,3.843805843814979e-08,1.0229299600000001,4.003004934619723e-09
150,3.8213549074366435e-08,1.0229299600000001,4.003086419753087e-09
151,3.799200286260919e-08,1.0229299600000001,4.003169550989179e-09
152,3.7773361321126035e-08,1.0229299600000001,4.0032543503490325e-09
153,3.7557567497109524e-08,1.0229299600000001,4.00334084e-09
154,3.734456591705571e-08,1.0229299600000001,4.0034290422557546e-09
155,3.713430253904466e-08,1.0229299600000001,4.003518979576284e-09
156,3.6926724706856355e-08,1.0229299600000001,4.003610674567902e-09
157,3.6721781105840124e-08,1.0229299600000001,4.0037041499832345e-09
158,3.651942172045989e-08,1.0229299600000001,4.003799428721232e-09
159,3.6319597793441554e-08,1.0229299600000001,4.003896533827161e-09
160,3.612226178645226e-08,1.0229299600000001,4.003995488492608e-09
161,3.5927367342245094e-08,1.0229299600000001,4.00409631605548e-09
162,3.573486924820582e-08,1.0229299600000001,4.00419904e-09
163,3.554472340124143e-08,1.0229299600000001,4.0043036839567136e-09
164,3.535688677395329e-08,1.0229299600000001,4.0044102717024845e-09
165,3.517131738204031e-08,1.0229299600000001,4.004518827160494e-09
166,3.4987974252880376e-08,1.0229299600000001,4.004629374400244e-09
167,3.4806817395240555e-08,1.0229299600000001,4.0047419376375555e-09
168,3.462780777006904e-08,1.0229299600000001,4.004856541234568e-09
169,3.4450907262324154e-08,1.0229299600000001,4.004973209699741e-09
170,3.427607865379756e-08,1.0229299600000001,4.005091967687853e-09
171,3.410328559689107e-08,1.0229299600000001,4.00521284e-09
172,3.3932492589308185e-08,1.0229299600000001,4.0053358515836e-09
173,3.376366494962345e-08,1.0229299600000001,4.005461027532389e-09
174,3.359676879369415e-08,1.0229299600000001,4.00558839308642e-09
175,3.343177101188085e-08,1.0229299600000001,4.0057179736320685e-09
176,3.326863924704444e-08,1.0229299600000001,4.005849794702028e-09
177,3.310734187328902e-08,1.0229299600000001,4.005983881975309e-09
178,3.2947847975421456e-08,1.0229299600000001,4.006120261277244e-09
179,3.2790127329099235e-08,1.0229299600000001,4.006258958579485e-09
180,3.263415038164025e-08,1.0229299600000001,4.0064000000000006e-09
181,3.24798882334686e-08,1.0229299600000001,4.006543411803079e-09
182,3.232731262017211e-08,1.0229299600000001,4.0066892203993295e-09
183,3.217639589514816e-08,1.0229299600000001,4.006837452345679e-09
184,3.202711101281533e-08,1.0229299600000001,4.006988134345375e-09
185,3.1879431512369646e-08,1.0229299600000001,4.0071412932479805e-09
186,3.173333150206469e-08,1.0229299600000001,4.007296956049383e-09
187,3.158878564399619e-08,1.0229299600000001,4.007455149891785e-09
188,3.1445769139372176e-08,1.0229299600000001,4.00761590206371e-09
189,3.1304257714250725e-08,1.0229299600000001,4.0077792399999995e-09
190,3.116422760572811e-08,1.0229299600000001,4.007945191281817e-09
191,3.102565554856089e-08,1.0229299600000001,4.008113783636641e-09
192,3.088851876220595e-08,1.0229299600000001,4.008285044938272e-09
193,3.07527949382635e-08,1.0229299600000001,4.008459003206828e-09
194,3.0618462228308465e-08,1.0229299600000001,4.0086356866087485e-09
195,3.048549923209621e-08,1.0229299600000001,4.00881512345679e-09
196,3.0353884986129394e-08,1.0229299600000001,4.0089973422100296e-09
197,3.0223598952573025e-08,1.0229299600000001,4.009182371473861e-09
198,3.009462100850538e-08,1.0229299600000001,4.0093702400000004e-09
199,2.9966931435493044e-08,1.0229299600000001,4.009560976686481e-09
200,2.984051090947872e-08,1.0229299600000001,4.009754610577656e-09
201,2.9715340490970876e-08,1.0229299600000001,4.009951170864198e-09
202,2.9591401615524756e-08,1.0229299600000001,4.010150686883098e-09
203,2.9468676084504818e-08,1.0229299600000001,4.010353188117665e-09
204,2.934714605611877e-08,1.0229299600000001,4.010558704197532e-09
205,2.9226794036714135e-08,1.0229299600000001,4.010767264898644e-09
206,2.9107602872328194e-08,1.0229299600000001,4.010978900143271e-09
207,2.8989555740482943e-08,1.0229299600000001,4.01119364e-09
208,2.8872636142216706e-08,1.0229299600000001,4.011411514683737e-09
209,2.875682789434452e-08,1.0229299600000001,4.011632554555708e-09
210,2.8642115121939617e-08,1.0229299600000001,4.011856790123457e-09
211,2.8528482251028746e-08,1.0229299600000001,4.0120842520408475e-09
212,2.8415914001494173e-08,1.0229299600000001,4.012314971108064e-09
213,2.8304395380175727e-08,1.0229299600000001,4.012548978271605e-09
214,2.8193911674166105e-08,1.0229299600000001,4.012786304624295e-09
215,2.808444844429343e-08,1.0229299600000001,4.013026981405274e-09
216,2.7975991518784723e-08,1.0229299600000001,4.013271040000001e-09
217,2.7868526987104692e-08,1.0229299600000001,4.013518511940254e-09
218,2.7762041193963978e-08,1.0229299600000001,4.013769428904131e-09
219,2.765652073349168e-08,1.0229299600000001,4.0140238227160494e-09
220,2.7551952443566695e-08,1.0229299600000001,4.014281725346746e-09
221,2.7448323400303075e-08,1.0229299600000001,4.014543168913275e-09
222,2.7345620912684304e-08,1.0229299600000001,4.014808185679012e-09
223,2.7243832517342057e-08,1.0229299600000001,4.015076808053651e-09
224,2.7142945973474743e-08,1.0229299600000001,4.015349068593202e-09
225,2.704294925790158e-08,1.0229299600000001,4.015625000000001e-09
226,2.6943830560247965e-08,1.0229299600000001,4.015904635122695e-09
227,2.684557827825813e-08,1.0229299600000001,4.016188006956257e-09
228,2.674818101323111e-08,1.0229299600000001,4.016475148641975e-09
229,2.6651627565576316e-08,1.0229299600000001,4.01676609346746e-09
230,2.655590693048506e-08,1.0229299600000001,4.017060874866636e-09
231,2.6461008293714488e-08,1.0229299600000001,4.0173595264197535e-09
232,2.6366921027480533e-08,1.0229299600000001,4.017662081853376e-09
233,2.6273634686456693e-08,1.0229299600000001,4.017968575040391e-09
234,2.6181139003875337e-08,1.0229299600000001,4.018279040000001e-09
235,2.6089423887728555e-08,1.0229299600000001,4.018593510897729e-09
236,2.599847941706568e-08,1.0229299600000001,4.01891202204542e-09
237,2.590829583838441e-08,1.0229299600000001,4.019234607901235e-09
238,2.5818863562113074e-08,1.0229299600000001,4.0195613030696546e-09
239,2.5730173159181008e-08,1.0229299600000001,4.019892142301479e-09
240,2.564221535767488e-08,1.0229299600000001,4.020227160493828e-09
241,2.5554981039578088e-08,1.0229299600000001,4.020566392690139e-09
242,2.5468461237591145e-08,1.0229299600000001,4.020909874080171e-09
243,2.5382647132030433e-08,1.0229299600000001,4.0212576400000005e-09
244,2.5297530047803312e-08,1.0229299600000001,4.021609725932023e-09
245,2.5213101451457303e-08,1.0229299600000001,4.0219661675049545e-09
246,2.5129352948301195e-08,1.0229299600000001,4.022327000493827e-09
247,2.5046276279596113e-08,1.0229299600000001,4.022692260819997e-09
248,2.496386331981455e-08,1.0229299600000001,4.0230619845511354e-09
249,2.4882106073965416e-08,1.0229299600000001,4.023436207901234e-09
250,2.480099667498336e-08,1.0229299600000001,4.023814967230605e-09
251,2.472052738118037e-08,1.0229299600000001,4.0241982990458775e-09
252,2.4640690573758178e-08,1.0229299600000001,4.02458624e-09
253,2.4561478754379617e-08,1.0229299600000001,4.024978826892242e-09
254,2.4482884542797266e-08,1.0229299600000001,4.0253760966681905e-09
255,2.4404900674538056e-08,1.0229299600000001,4.0257780864197535e-09
256,2.4327519998641978e-08,1.0229299600000001,4.026184833385154e-09
257,2.425073547545369e-08,1.0229299600000001,4.026596374948941e-09
258,2.417454017446543e-08,1.0229299600000001,4.027012748641976e-09
259,2.4098927272209942e-08,1.0229299600000001,4.027433992141442e-09
260,2.402389005020197e-08,1.0229299600000001,4.027860143270843e-09
261,2.3949421892927135e-08,1.0229299600000001,4.02829124e-09
262,2.387551628587681e-08,1.0229299600000001,4.028727320445055e-09
263,2.3802166813627897e-08,1.0229299600000001,4.029168422868465e-09
264,2.3729367157966147e-08,1.0229299600000001,4.029614585679013e-09
265,2.365711109605211e-08,1.0229299600000001,4.030065847431794e-09
266,2.3585392498628273e-08,1.0229299600000001,4.030522246828228e-09
267,2.351420532826669e-08,1.0229299600000001,4.030983822716049e-09
268,2.3443543637655645e-08,1.0229299600000001,4.0314506140893165e-09
269,2.337340156792471e-08,1.0229299600000001,4.031922660088402e-09
270,2.3303773347006878e-08,1.0229299600000001,4.0324e-09
271,2.3234653288037062e-08,1.0229299600000001,4.032882673257125e-09
272,2.3166035787785856e-08,1.0229299600000001,4.03337071943911e-09
273,2.3097915325127762e-08,1.0229299600000001,4.033864178271605e-09
274,2.3030286459542936e-08,1.0229299600000001,4.034363089626582e-09
275,2.2963143829651607e-08,1.0229299600000001,4.034867493522329e-09
276,2.2896482151780413e-08,1.0229299600000001,4.035377430123457e-09
277,2.2830296218559728e-08,1.0229299600000001,4.035892939740894e-09
